state_code,county_code,no_exercise,few_fruit_veg,obesity,high_blood_pres,smoker,diabetes,uninsured,prim_care_phys_rate,dentist_rate,community_health_center_ind
5,51,25.0,76.0,22.3,33.3,28.3,8.0,14158,80.2,49.2,2
5,53,35.8,88.3,31.6,,33.7,4.0,2038,40.4,17.3,2
5,55,31.7,82.5,29.5,34.8,31.7,9.9,4636,58.4,22.8,2
5,57,29.8,78.2,24.4,,26.2,10.3,4943,42.8,29.9,1
5,59,32.2,79.4,28.1,35.5,22.1,9.3,4327,38.4,16.0,2
5,61,34.2,,26.1,,25.9,12.7,2530,48.1,34.4,2
5,63,30.8,78.8,26.9,31.6,26.0,7.2,4830,83.5,40.3,1
5,65,34.6,78.0,28.5,,24.5,13.5,2219,52.1,44.7,2
5,67,41.3,85.6,31.0,,24.4,8.1,3051,90.9,34.1,1
5,69,29.1,81.8,27.4,34.0,23.3,9.8,13485,94.2,37.9,1
5,71,26.7,81.0,20.3,,29.0,8.6,4420,74.9,25.0,2
5,73,,,,,,10.2,1636,37.4,12.5,1
5,75,31.6,89.1,28.6,,37.8,5.9,2836,40.8,17.5,1
5,77,,,,,,9.3,2555,34.6,17.3,1
5,79,,,,,,9.3,1984,7.0,0.0,2
5,81,25.9,,22.1,,33.7,6.7,2411,30.2,30.2,2
5,83,34.5,80.3,29.5,,34.3,8.1,3218,34.9,17.4,1
5,85,27.8,81.5,23.2,21.1,29.5,6.3,7148,21.4,18.1,1
5,87,28.3,76.4,22.4,,31.5,4.0,2855,33.4,20.1,1
5,89,30.3,76.4,23.1,26.1,28.4,8.3,2906,17.9,17.9,2
5,91,34.0,80.5,31.0,27.5,28.1,9.7,7040,67.2,37.1,2
5,93,42.5,81.6,29.3,33.0,28.5,7.0,10149,56.4,23.0,2
5,95,,,,,,8.3,2198,21.5,21.5,1
5,97,,82.0,14.0,,23.7,11.5,1862,32.3,10.8,2
5,99,32.2,,,,26.4,1.9,1614,31.4,10.5,2
5,101,26.5,,29.2,,30.1,5.8,1734,23.7,0.0,1
5,103,33.4,80.7,27.6,37.0,22.6,6.6,4306,51.7,25.8,1
5,105,33.2,,28.2,,,12.3,1536,19.1,19.1,1
5,107,45.2,79.6,28.9,,20.9,8.8,6274,45.6,20.7,1
5,109,30.8,81.0,23.5,,,2.9,2042,45.3,18.1,2
5,111,42.5,79.9,29.7,,42.6,12.4,4594,19.7,23.7,1
5,113,30.2,74.5,24.8,32.4,21.9,7.9,4393,59.5,34.7,1
5,115,23.2,81.2,28.4,29.8,26.6,6.5,8198,79.5,40.7,2
5,117,,,25.8,,17.8,7.2,1249,43.9,0.0,1
5,119,23.6,76.1,22.3,28.9,21.0,6.7,52197,165.1,58.7,1
5,121,40.3,83.6,24.3,,34.2,6.5,2858,59.6,32.5,1
5,123,35.6,78.1,32.4,,25.8,11.8,6002,46.6,17.9,1
5,125,23.7,77.9,24.2,24.1,23.5,7.5,7970,48.3,16.4,2
5,127,34.4,91.5,20.7,,28.4,10.2,2399,17.9,26.9,2
5,129,28.6,87.8,,,23.5,12.4,2118,37.6,25.1,1
5,131,28.0,75.8,26.4,32.1,20.5,7.1,18572,125.5,55.6,1
5,133,42.4,79.1,25.1,19.3,26.1,8.2,3682,60.8,18.2,2
5,135,35.2,76.5,23.7,,26.1,6.7,3503,34.5,17.2,2
5,137,29.4,76.7,21.6,,22.8,9.0,2380,42.7,17.1,2
5,139,30.0,80.3,27.0,28.4,25.8,9.1,6517,95.1,33.9,1
5,141,35.4,76.4,29.6,,28.8,8.2,2935,30.2,24.2,1
5,143,21.9,77.6,18.6,24.6,21.4,5.5,26412,88.2,36.6,1
5,145,30.2,80.5,24.1,25.4,24.2,8.7,10331,58.9,30.8,1
5,147,,,,,,,1711,49.4,24.7,1
5,149,31.6,81.0,25.5,21.0,27.9,8.9,4389,51.4,23.4,2
6,1,20.7,69.3,18.4,21.4,15.6,5.3,201483,117.4,64.9,1
6,3,,,,,,,252,0.0,0.0,2
6,5,,,11.2,,,5.4,4245,75.4,46.8,2
6,7,25.8,78.8,23.7,26.7,17.0,4.3,37097,71.0,51.4,1
6,9,,,9.0,,,1.3,5932,42.7,23.5,1
6,11,,,,,,,4736,42.7,23.7,1
6,13,21.0,72.8,21.6,23.7,14.2,5.4,119080,97.2,59.8,1
6,15,,,,,,,4711,76.6,45.3,1
6,17,14.2,67.8,24.0,20.4,14.9,4.8,21522,76.9,48.1,1
6,19,25.8,74.3,27.7,25.1,14.6,7.4,202484,77.9,39.4,1
6,21,,,,,,,6275,14.4,25.2,1
